path,purpose,imports,imported_by,CLI entrypoint?,research phase,classification,frozen_reference?,manifest_or_artifact_reference?,safe_to_move?,recommended_destination,migration_action,notes
scripts/evaluate_dense.py,Evaluate dense-jina-v3-v0 using the unchanged BM25 metric implementation.,__future__; csv; dense_baseline; evaluate_bm25; json; pathlib,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/evaluate/evaluate_dense.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/evaluate_dense.py"
scripts/evaluate_hybrid.py,Evaluate the fixed hybrid-rrf-v0 experiment and write its analyses.,__future__; csv; datetime; evaluate_bm25; hashlib; hybrid_rrf; json; pathlib; typing,tests/test_phase5_leakage.py,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/evaluate/evaluate_hybrid.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/evaluate_hybrid.py"
scripts/evaluate_reranker.py,Evaluate the fixed bge-reranker-v2-m3-v0 experiment on 31 frozen queries.,__future__; argparse; csv; datetime; evaluate_bm25; hashlib; json; pathlib; reranker_baseline; typing,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/evaluate/evaluate_reranker.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/evaluate_reranker.py"
scripts/evaluate_standard_rag.py,Run the fixed Standard RAG generation benchmark and audit its outputs.,__future__; argparse; citation_validator; collections; datetime; hashlib; json; llm_client; os; pathlib; rag_baseline; random; retrieval_pipeline; statistics; sys; typing; validate_generation_eval,data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; data/evaluation/generation/phase5/phase5b2e_v0/validate_analysis.py; scripts/evaluate_agentic_rag.py; scripts/phase5_evaluation_quota_recovery_v1.py; tests/test_phase5_evaluation_quota_recovery.py; tests/test_phase5_leakage.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_BUT_WRAPPABLE,yes,yes,no,scripts/evaluate_standard_rag.py,COPY_WRAPPER_ONLY,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/evidence_formatter.py,Generation context and citation-map formatting.,__future__; retrieval_pipeline; typing,scripts/agentic_rag.py; scripts/rag_baseline.py; tests/test_rag_runtime.py,no,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/evidence_formatter.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/extract_docx.py,Extract paragraphs/tables from registered DOCX sources,__future__; csv; docx; docx.document; docx.oxml.table; docx.oxml.text.paragraph; docx.table; docx.text.paragraph; pathlib; re; typing,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/dataset/extract_docx.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/extract_docx.py"
scripts/generate_human_review_report.py,Generate read-only human-review artifacts for flagged retrieval annotations.,csv; json; pathlib,,yes,historical retrieval annotation review,ONE_OFF_PHASE_SCRIPT,yes,yes,needs_review,scripts/dataset/generate_human_review_report.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/generate_human_review_report.py Fixed historical annotation/report construction; frozen outputs do not make the source disposable."
scripts/hash_raw_files.py,Compute raw-source hashes,hashlib; pathlib,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/utilities/hash_raw_files.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/hash_raw_files.py"
scripts/hybrid_rrf.py,Equal-weight reciprocal-rank fusion of the frozen BM25 and Dense baselines.,__future__; argparse; bm25_baseline; dataclasses; dense_baseline; pathlib; typing,scripts/evaluate_hybrid.py,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/utilities/hybrid_rrf.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/hybrid_rrf.py"
scripts/inspect_chunk_issues.py,Inspect and summarize chunk defects,__future__; collections; json; pathlib; typing,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/analysis/inspect_chunk_issues.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/inspect_chunk_issues.py"
scripts/llm_client.py,Provider-neutral generation interface with an OpenAI-compatible HTTP client.,__future__; dataclasses; json; os; typing; urllib.error; urllib.request,data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0001.py; data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0002.py; scripts/agentic_rag.py; scripts/evaluate_agentic_rag.py; scripts/evaluate_standard_rag.py; scripts/phase5_ablation_runner.py; scripts/rag_baseline.py; tests/test_phase5_evaluation_quota_recovery.py; tests/test_phase5_leakage.py,no,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/llm_client.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/parse_legal_structure.py,Parse legal article/clause/point structure,__future__; csv; dataclasses; json; pathlib; re; typing; unicodedata,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/dataset/parse_legal_structure.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/parse_legal_structure.py"
scripts/phase5_ablation_runner.py,Thin production worker. Trusted preparation and analysis run in other processes.,__future__; agentic_rag; argparse; dataclasses; datetime; fcntl; json; llm_client; os; pathlib; phase5_assets; phase5_common; phase5_isolation; phase5_observer; re; retrieval_pipeline; sys; sysconfig; tempfile; uuid,data/evaluation/generation/phase5/execution_tools/report_incomplete_v0.py; scripts/phase5_analyze.py; scripts/phase5_assets.py; scripts/phase5_preflight.py; tests/phase5_synthetic_worker.py; tests/test_phase5_ablation_runner.py; tests/test_phase5_leakage.py; tests/test_phase5_preflight.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_ablation_runner.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_ablation_runner.py"
scripts/phase5_analyze.py,Trusted post-seal evaluator wiring. CLI verifies seals only in Phase 5B.1.,__future__; argparse; copy; evaluate_agentic_rag; fcntl; json; os; pathlib; phase5_ablation_runner; phase5_common,data/evaluation/generation/phase5/execution_tools/report_incomplete_v0.py; data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; scripts/phase5_preflight.py; tests/test_phase5_leakage.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_analyze.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_analyze.py"
scripts/phase5_assets.py,Offline model/cache and actual pipeline configuration verification.,__future__; argparse; hashlib; importlib.metadata; json; os; pathlib; phase5_ablation_runner; phase5_common; phase5_isolation; platform; retrieval_pipeline; sys; tempfile; transformers,scripts/phase5_ablation_runner.py; scripts/phase5_preflight.py; tests/test_phase5_preflight.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_assets.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_assets.py"
scripts/phase5_common.py,Small serialization primitives shared by the isolated worker and trusted tools.,__future__; hashlib; json; os; pathlib,data/evaluation/generation/phase5/execution_tools/launch_frozen_v0.py; data/evaluation/generation/phase5/execution_tools/report_incomplete_v0.py; data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0001.py; data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0002.py; scripts/phase5_ablation_runner.py; scripts/phase5_analyze.py; scripts/phase5_assets.py; scripts/phase5_durable_seal_v1.py; scripts/phase5_evaluation_quota_recovery_v1.py; scripts/phase5_observer.py; scripts/phase5_preflight.py; scripts/phase5_seal_recovery_v1.py; tests/phase5_run_suite.py; tests/phase5_synthetic_worker.py; tests/test_phase5_ablation_runner.py; tests/test_phase5_evaluation_quota_recovery.py; tests/test_phase5_leakage.py; tests/test_phase5_preflight.py; tests/test_phase5_seal_recovery_v1.py,no,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_common.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_common.py"
scripts/phase5_durable_seal_v1.py,Offline durable sealing primitives; post-production infrastructure correction.,__future__; json; os; pathlib; phase5_common; re,data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; scripts/phase5_evaluation_quota_recovery_v1.py; scripts/phase5_seal_recovery_v1.py; tests/test_phase5_seal_recovery_v1.py,no,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_durable_seal_v1.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5b2er1_quota_recovery_manifest_v0.json#/historical_file_hashes/scripts/phase5_durable_seal_v1.py"
scripts/phase5_evaluation_quota_recovery_v1.py,Versioned quota recovery infrastructure. CLI is strictly offline; never judges.,__future__; argparse; copy; datetime; email.utils; evaluate_agentic_rag; evaluate_standard_rag; fcntl; hashlib; json; math; os; pathlib; phase5_common; phase5_durable_seal_v1; phase5_isolation; phase5_seal_recovery_v1; re; sys; time; urllib.error; urllib.request,data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0001.py; data/evaluation/generation/phase5/phase5b2er2_v1/execution_driver_session_0002.py; data/evaluation/generation/phase5/phase5b2f_v0/analysis_tools/phase5b2f_gate.py; tests/test_phase5_evaluation_quota_recovery.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_evaluation_quota_recovery_v1.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5b2er1_quota_recovery_manifest_v0.json#/infrastructure_hashes/scripts/phase5_evaluation_quota_recovery_v1.py"
scripts/phase5_isolation.py,"Audited allowlist for a fresh, single-purpose Python production process.",__future__; os; pathlib; sys,scripts/phase5_ablation_runner.py; scripts/phase5_assets.py; scripts/phase5_evaluation_quota_recovery_v1.py; scripts/phase5_preflight.py; tests/phase5_test_support.py; tests/test_phase5_leakage.py,no,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_isolation.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_isolation.py"
scripts/phase5_observer.py,"Pass-through observations; no decision parsing, retries, or state mutations.",__future__; agentic_rag; dataclasses; datetime; phase5_common; re; sys,scripts/phase5_ablation_runner.py; tests/test_phase5_ablation_runner.py,no,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_observer.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_observer.py"
scripts/phase5_preflight.py,Trusted offline preparation/preflight. Never imported by production.,__future__; argparse; copy; json; os; pathlib; phase5_ablation_runner; phase5_analyze; phase5_assets; phase5_common; phase5_isolation; shlex; subprocess; sys; tempfile; urllib.parse,data/evaluation/generation/phase5/execution_tools/launch_frozen_v0.py; data/evaluation/generation/phase5/execution_tools/report_incomplete_v0.py; tests/test_phase5_preflight.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_preflight.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/agentic-v1-no-answer-revision/run_manifest.json#/frozen_source_sha256/scripts/phase5_preflight.py"
scripts/phase5_seal_recovery_v1.py,"Phase 5B.2-R only: offline provenance recovery, never production or judging.",__future__; argparse; datetime; json; pathlib; phase5_common; phase5_durable_seal_v1; subprocess; sys,data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; scripts/phase5_evaluation_quota_recovery_v1.py; tests/test_phase5_seal_recovery_v1.py,yes,Phase 5B / recovery / ablations,FROZEN_REFERENCE,yes,yes,no,scripts/phase5_seal_recovery_v1.py,KEEP_IN_PLACE,"Phase 5 execution/seal tooling; preserve historical launch, allowlist and recovery provenance. Hash references are conservative protection, not proof of a unique authoritative revision. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5b2er1_quota_recovery_manifest_v0.json#/historical_file_hashes/scripts/phase5_seal_recovery_v1.py"
scripts/rag_baseline.py,Single-shot legal-rag-v0 runtime (no agentic behavior).,__future__; argparse; citation_validator; datetime; evidence_formatter; json; llm_client; os; pathlib; response_formatter; retrieval_pipeline; sys; typing,scripts/agentic_rag.py; scripts/evaluate_standard_rag.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_BUT_WRAPPABLE,yes,yes,no,scripts/rag_baseline.py,COPY_WRAPPER_ONLY,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/reranker_baseline.py,Fixed cross-encoder baseline over BM25@20 union Dense@20 candidates.,__future__; argparse; bm25_baseline; dataclasses; dense_baseline; pathlib; torch; transformers; typing,scripts/analyze_standard_rag_failures.py; scripts/evaluate_reranker.py; scripts/retrieval_pipeline.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/reranker_baseline.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/response_formatter.py,Parse internal model JSON and render the user-visible legal answer.,__future__; json; re; typing,scripts/agentic_rag.py; scripts/rag_baseline.py; tests/test_rag_runtime.py,no,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/response_formatter.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/retrieval_pipeline.py,Unified frozen retrieval interface for legal-rag-v0.,__future__; dataclasses; reranker_baseline; typing,scripts/agentic_rag.py; scripts/evaluate_agentic_rag.py; scripts/evaluate_standard_rag.py; scripts/evidence_formatter.py; scripts/phase5_ablation_runner.py; scripts/phase5_assets.py; scripts/rag_baseline.py; tests/phase5_test_support.py; tests/test_agentic_rag.py; tests/test_rag_runtime.py,no,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/retrieval_pipeline.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/update_source_hashes.py,Check or update SHA-256 hashes for source files in documents.csv.,__future__; argparse; csv; datetime; hashlib; os; pathlib; shutil; sys; tempfile,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/utilities/update_source_hashes.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/update_source_hashes.py"
scripts/update_verification_status.py,Safely update verification status for exactly one registry document.,__future__; argparse; csv; datetime; os; pathlib; shutil; tempfile,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/utilities/update_verification_status.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/update_verification_status.py"
scripts/validate_corpus.py,"Validate corpus structures, chunks and registry; emit reports",__future__; collections; csv; datetime; json; pathlib; re; typing,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/validate/validate_corpus.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/validate_corpus.py"
scripts/validate_generation_eval.py,Deterministically validate generation-evaluation annotations.,__future__; argparse; hashlib; json; pathlib; typing,scripts/analyze_standard_rag_failures.py; scripts/evaluate_standard_rag.py; tests/test_generation_eval.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/validate_generation_eval.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/validate_retrieval_eval.py,Validate retrieval gold annotations against the immutable corpus snapshot.,csv; json; pathlib,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/validate/validate_retrieval_eval.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/validate_retrieval_eval.py"
